donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies
"is a leader with an outgoing, gregarious personality. He is very funny and laughs at himself easily. The staff finds him a genuinely nice, caring man with a calm demeanor. He is very close to his family. An economics major, he aspires to be a business owner one day. He has straight auburn hair which really accentuates his blue eyes. He is very athletic and disciplined in his fitness. A positive approach with a constant smile is part of who he is.. Financial Security, Further Education, Marriage/Family, Rewarding Career, To Be Happy, Travel","5'11""
(180 cm)","193 lb
(87 kg)",Blue,"Auburn/
Straight",Light,BBA/Economics,,Caucasian,Christian (Non-denominational),Part-time recruiter,"Basketball, Fishing, Food, Football, Saxophone, Sporting Events, Travel"
"is very confident, smart and charismatic. An extremely hard worker and driven to be successful, he has a rational, pragmatic and straightforward approach to life. He is a devoted husband. This donor enjoys house renovation. He maintains his athletic build by a daily fitness regime, mountain biking and weightlifting. With a thick head of dark brown hair and brown eyes, he also has a strong jaw line. He has a very handsome profile.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, Travel","5'10""
(177 cm)","177 lb
(80 kg)",Brown,"Brown/
Straight",Light,MS/Software Engineering,,Caucasian,None (Atheist),Computer Engineer,"Home remodeling and renovation, Investing, Real Estate"
"is a bright, articulate man who is also a natural comedian. His strong work ethic and tendency to plan ahead help this donor be very academically accomplished. He is a compassionate and kind hearted person who values people who are nice above all. His thick, curly brown hair and pretty brown eyes give him an attractive Latin look. His eye lashes are long, dark and very handsome. He has full lips and a wonderful smile that lights-up his entire face.. Recognition, To Be Happy","5'7""
(170 cm)","133 lb
(60 kg)",Brown,"Brown/
Curly",Medium Light,"BA/History, Economics",,Multi,Other (Spiritual),Billing Specialist,"Bass Clarinet, Chess, Clarinet, Computer games, Karate, Reading"
"is a medical student, a talented pianist, and very motivated. He considers himself passionate and adventurous. Our staff comments that he is sweet and caring. Calm, cool and collected, he is determined to reach his goal of being an orthopedic surgeon. He has a close relationship with his family and is especially close to his younger brother. This donor is tall, dark, and handsome and has an endearing smile. He maintains his lean build by running, swimming, and playing tennis.. Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People","5'11""
(180 cm)","160 lb
(72 kg)",Brown,"Black/
Straight",Medium,MD,,Asian,Other (Agnostic),Medical Doctor,"Crew, Guitar, Piano, Pro football, Swimming, Tennis, Video games"
"is kind, optimistic and open minded. Our staff find him honest, polite and friendly. He is clear-headed and eloquent as well as a disciplined hard worker. This donor is also very musically talented and can play both the piano and saxophone. He has a strong, athletic build maintained by boxing, running and martial arts. With straight black hair and dark brown eyes, he has a well-defined jaw line and nice, full lips which accentuate his truly beautiful smile.. Financial Security, Marriage/Family, Success, To Be Happy, Travel","5'9""
(175 cm)","170 lb
(77 kg)",Brown,"Black/
Straight",Medium,BS/Hospitality Management,,Asian,Christian (Baptist),Compliance Officer,"Cross Country, Drawing, Martial Arts, Piano, Puzzles, Reading, Saxophone"
"is an intelligent individual with a promising future, reared in a family full of over-achievers. This donor is pursuing advanced degrees in both Medicine and Business Administration. Despite it all, he is a really warm, easygoing guy. In his free time he enjoys the outdoors, especially running, golf, hiking and kayaking. He has fine features with a warm friendly smile, thick straight brown hair and rich brown eyes. Friends have told him he looks like Nick Lachey.. Community Service, Financial Security, Marriage/Family, Politics, Rewarding Career, Success, To Be Happy, To Help People","5'6""
(167 cm)","162 lb
(73 kg)",Brown,"Brown/
Straight",Medium Light,"MD, MBA",,Caucasian,Christian (Russian Orthodox),Medical Resident,"Cooking, Golf, Hiking, Kayaking, Paintball, Piano, Trumpet"
"is an accomplished professional and devoted father. He is a calm, quiet and reflective man who values respect and open-mindedness. Our staff comments that he is soft spoken and sweet with a positive outlook on life. He enjoys swimming, fencing and reading and writing poetry. Pharmacy is his field of study in his home country and in the US. He is handsome with deep beautiful brown eyes, a head of thick black hair and beautiful olive skin.. Recognition, Rewarding Career, To Be Happy, To Help People, Travel","5'7""
(170 cm)","172 lb
(78 kg)",Brown,"Black/
Wavy",Medium,Pharm. D. (equivalent),,Latino,Christian (Catholic),"Pharmacist, Writer, Translator","Fencing, Swimming, Writing"
"is creative, articulate and filled with both talent and passion. Thoughtful, earnest, kind and optimistic are words used by our staff. He is musically inclined and has a fascination for the arts. His artistic sensibilities should serve him well in his future career in architecture.This donor has the quintessential attractive Nordic appearance.He is tall and lean, and keeps fit through regular exercise and athletic activity. His handsome physical qualities are in keeping with his overall charming demeanor.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Recognition, Rewarding Career, To Be Happy, To Help People, Travel","6'1""
(185 cm)","163 lb
(73 kg)",Blue,"Blond/
Straight",Light,Bach. of Design/Architecture,,Caucasian,Christian (Lutheran),Senior Sales Partner,"Athletics, Music"
"Kind and gentle, this donor has a passionate talent in the arts. A great singer and actor, he aspires to be in the theater. He is cute and charming. He has shiny, straight brown hair that he keeps long and pulled-back. He has bright blue eyes. Of average height with a lean, fit physique, he cycles and runs to stay in shape. His smile is captivating. This donor has a desire to help others in any way possible. He is honest and direct with his opinions and he has an innate ability to make others laugh.. Community Service, Fame, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'10""
(177 cm)","147 lb
(66 kg)",Blue,"Brown/
Straight",Medium Light,AA/Theater,,Caucasian,Other (Agnostic),Audience Services Rep.,"Biking, Cello, Chess, Reading, Running, Singing, Theatre, Writing"
"is extremely polite and soft-spoken. His Hispanic heritage and cultural traditions are very important to him. He is proud that he is bilingual. He is intelligent and driven to succeed with aspirations to be a medical doctor one day. Our staff finds him extremely handsome and also comment on how thoughtful he is. This donor always has a smile on his face and takes the time to have a conversation with the staff when he visits the office.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, Travel","5'10""
(177 cm)","170 lb
(77 kg)",Brown,"Brown/
Straight",Light,Bachelor's/Sports Management,,Latino,Christian (Mormon),Police Officer,Guitar
"is a very articulate, well-read and a bright young man. He is outgoing and has a great sense of humor. As an immigrant to the US when he was a child, this donor is bilingual and eager to work in an international setting. He is humble, compassionate and helpful, especially with those from other cultures. Our staff comments that he is the tall, dark and handsome type. Because of his heritage, he has a skin tone that makes him look like he has spent days hanging out on the beach, even in the middle of winter.. Community Service, Financial Security, Further Education, Politics, Rewarding Career, Success, To Help People, Travel","6'0""
(182 cm)","190 lb
(86 kg)",Brown,"Black/
Wavy",Medium,MBA,,Latino,Other (Agnostic),Consultant,"Guitar, Movies, Reading, Soccer, Trumpet"
"is sweet natured and easygoing. Our staff says he is kind, compassionate and honest. He aspires to be a good husband and father to his two daughters. As a senior manager at his company, he is experienced in problem solving and working with a team. This donor is an explorer; when not working he prefers to be outdoors and likes backpacking and hiking. Fit and lean, he seems taller than his 5'9"" height and carries himself well. He has a straight, well-proportioned nose, full lips, a strong chin and even, white teeth. When he smiles his whole face lights up. His wife says he looks like a mix between Kevin Bacon and Mark Wahlberg.. Financial Security, Marriage/Family, To Be Happy, To Help People","5'9""
(175 cm)","185 lb
(83 kg)",Green,"Brown/
Straight",Medium Light,BS/Microbiology,,Caucasian,Christian (Non-denominational),IT Director,"Backpacking, Landscaping, Outdoors, Sports"
"is honest and courageous and a wonderful father and husband. A recent immigrant from China, he is a hard worker dedicated to his postdoctoral research in Organic Chemistry. He is incredibly charming, easygoing and optimistic. He likes to cook and cherishes his family time. He is a handsome Chinese man with deep brown eyes, a lean body and beautiful, straight black hair. No childhood photo is available, as his family did not take photos when he was a young child in China.. To Help People","5'8""
(172 cm)","165 lb
(74 kg)",Brown,"Black/
Straight",Medium Light,PhD/Organic Chemistry,,Asian,None (Atheist),Postdoctoral Researcher,"Cooking, Reading, Science, Sports, Video games"
"is creative and open-minded. He is full of energy and creativity and loves to find new ways to incorporate his ideas into projects and works of art. He has a kind, comforting and generous nature. Very intelligent, he is modest and wants to make a difference in the world. He has a career in communications; he understands how things operate and always finds the best approach to solving business-related challenges. Tall and handsome, he has a lean, toned, fit physique. He has an enchanting smile. His most appealing facial characteristic, though, is his incredibly bright blue eyes.. Community Service, Financial Security, Further Education, Improve Environment, Politics, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","172 lb
(78 kg)",Blue,"Brown/
Wavy",Light,AAS/Business Administration,,Caucasian,Other (Agnostic),Library Clerk,"Art, Design, Inventing, Sound Editing, Violin"
"is a proud father of a healthy daughter and an advocate for children. With a calm demeanor, he is responsible and honors his word. He is a soft spoken and a deeply religious man. He is a good listener, with a practical, easygoing approach to life. Creative, this donor likes to write poems and compose music. has smooth, olive colored skin indicative of his Indian heritage. One of his best physical traits is his eyes - they are a beautiful light brown, always warm and friendly, matching his personality perfectly. He resembles George Stephanopoulos.. Community Service, Fame, Financial Security, Further Education, Improve Environment, Marriage/Family, Success, To Be Happy, To Help People, Travel","5'9""
(175 cm)","199 lb
(90 kg)",Brown,"Black/
Straight",Medium Light,BA/Undeclared,,Asian,Islam,Student,"Film, Music, Reading, Theatre, Travel"
"is a creative man, a photographer, and has a strong connection to nature. He is introspective, an avid reader and loves to travel. Our staff says he is very sweet, always smiling and easygoing. His lifestyle includes being environmentally conscious, farming, meditating and biking everywhere. Cooking is a passion. He has a fit, light build. He is very handsome, has gorgeous blue eyes and thick, curly, dirty blond hair.. Community Service, Further Education, Improve Environment, Marriage/Family, Rewarding Career, To Be Happy, To Help People, Travel","5'8""
(172 cm)","137 lb
(62 kg)",Blue,"Blond/
Curly",Medium,BS/Photography,,Caucasian,None (Atheist),Swamp Tour Guide & Trapper,"Photography, Reading, Writing"
"is a family physician who is very compassionate and dedicated. He is quiet and kind hearted, and our staff comment on his intelligence and sweet-natured personality. During his leisure time he is an avid reader, a talented pianist and likes to visit with family. He is very driven and takes pride in working hard and being successful in all that he does. has a slim medium build with pretty, dark brown eyes and thick, straight black hair. He is moderately active and enjoys biking. He is good looking with a great, confident smile and sparkly white teeth.. Marriage/Family, Rewarding Career, To Be Happy, To Help People","5'11""
(180 cm)","169 lb
(76 kg)",Brown,"Black/
Straight",Medium,DO/Osteopathic Medicine,,Asian,Other (Deist),Physician,"Board games, Cooking, Cycling, Reading, Travel"
"is a cultured young man who has lived and studied abroad. He loves to show his creativity in the kitchen, cooking for family and friends. Very thoughtful, his essay is exceptionally good. A sweet, soft-spoken man, he is confident and laid back. A new father, he is joyful when he talks about his son. He has handsome, manly features. His smile is striking when he lets it show, and his eyes really light up when he laughs. He is in good shape with a light to medium build. He looks like basketball star Dwyane Wade.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, Travel","5'10""
(177 cm)","165 lb
(74 kg)",Brown,"Black/
Curly",Dark,BA/Intnl. Business and Culture,,Black,Other (Agnostic),Procurement Officer,"Cooking, Running"
"has a very calm and easygoing personality. He has a deep passion for music and is himself musically talented, having experience in playing multiple instruments. He enjoys traveling to different cities to see concerts, and he also enjoys exploring the outdoors. It is easy to be comfortable in his presence. Friends call him fatherly, as he is helpful to a fault. Our staff finds him very handsome. With his glasses and guitar he has the look of a sophisticated and talented musician. He has hazel eyes, beautiful thick, medium brown hair, and a fit build that he maintains with weekly exercise. He thinks he looks like TV show host Ted Allen.. Financial Security, Marriage/Family, Rewarding Career, To Be Happy, To Help People, Travel","5'9""
(175 cm)","202 lb
(91 kg)",Hazel,"Brown/
Wavy",Light,BS/Music Industry,,Caucasian,Christian (Methodist),Manager,"Bass Guitar, Billiards, Guitar, Reading"
"is an ambitious man who is compassionate and giving. He aspires to be a physician one day. He is bright with a sharp wit. He has a soothing presence and has a seamless ability to carry on a conversation on just about any topic. He is a handsome man with sharp features. He has a lean build and is very attractive, with a warm smile that highlights his eyes and makes him look friendly and approachable. He is poised, and his calm demeanor has a soothing effect on others around him. His smooth voice goes well with his charming personality and makes him very appealing. He resembles John Stamos.. Community Service, Fame, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'8""
(172 cm)","135 lb
(61 kg)",Brown,"Black/
Straight",Medium,"BS/Psychology, BA/Biology",,Asian,Islam,Cashier/Data Collector,"Guitar, Sports"
"is an honest and hard-working man. He loves that he is a ""family man,"" as he enjoys doting on his young daughter. Being a very devoted father, he understands the importance of instilling good character traits in his daughter, such as humbleness and honesty. He is an intuitive man and very approachable. The staff comments that he is like the guy you become best friends with after only knowing each other a short time. He is a cute guy who can best be described as boyishly handsome. He has silky brown hair which nicely matches his soft brown eyes. With a wonderful voice, he is calming and extremely alluring.. Financial Security, Further Education, God/Religion, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'10""
(177 cm)","160 lb
(72 kg)",Brown,"Brown/
Wavy",Medium Light,AA/Business,,Caucasian,Christian (Non-denominational),HVAC Technician,"Mechanics, Sports, Weightlifting"
"is a humble and hardworking individual. He always looks for what is best for his family and speaks so highly about his mother that we all are in awe. He also is very creative, and channels it by having a vision of something and making it come to life by building it from scratch with his own hands. He is extremely empathetic and is able to handle difficult situations with confidence and great care. He stands with clearly chiseled shoulders from years of swimming. He has a full head of thick, dark brown hair that is always styled nicely. He has a charming and coy smile that he allows to peek through when he cracks a joke and laughs along with it himself.. Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","215 lb
(97 kg)",Brown,"Brown/
Straight",Medium Light,Certificate/Linguistics,,Caucasian,Christian (Orthodox),Contractor-Self Employed,"Basketball, Dirt bikes"
"is a positive and joyful person. Thrilled to be a father, he takes that responsibility very seriously and loves to spend time with his son every chance he gets. He is very fit and has played soccer at a high level for several years. Because of his extensive sports experience, he is working toward a career in physical therapy. He stays calm even in the most stressful situations. He has a generous nature and wants to be able to give others the same feeling he has when he looks at his son. Our staff finds him very handsome. He keeps his hair cut short on the sides and long on the top. His smile is the first thing that you see when he walks into the room, because he is always sporting one, and because it is enchanting due to this little dimple on his right side. He has a medium skin tone that plays well with his black hair and makes his chocolate eyes come to life with excitement. He is very charming; with his permanent smile he makes you feel completely at ease. This donor is the kind of man that could steal your attention with his heartwarming smile. He resembles David Archuleta.. Financial Security, Further Education, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","5'10""
(177 cm)","190 lb
(86 kg)",Brown,"Black/
Straight",Medium,BS/Life Sciences,,Latino,Christian (Non-denominational),Chiropractic Assistant,"Guitar, Soccer"
"is an extremely driven and thoughtful man. Even at his job he won the dreamer award for his ambition and drive to make a difference in society. Our staff finds him kind and caring, with a calm demeanor. This donor is for sure one of the most naturally gifted, intellectually stimulating men we have had the pleasure to meet. He is rather tall, with a slim build that he keeps well-toned. He is an avid hiker and loves to spend time in nature. He enjoys soccer, volleyball and swimming. He has a great sense of style. He is very dreamy and draws you in with his warm smile and compassionate eyes. He looks like James Wan.. Financial Security, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","150 lb
(68 kg)",Brown,"Black/
Straight",Medium,BA/Economics,,Asian,Other (Agnostic),Product Manager,"Hiking, Reading, Trumpet, Working out"
"is a calm, quiet man who is a dedicated family man. He is a hard worker and wants to finish what he starts. He considers himself quiet, focused, patient and humble. He also likes to garden, do woodworking and play the guitar. He remembers, as a boy, watching his grandfather gather everyone in a calm and orderly fashion, always having a plan. He admires these traits in his grandfather, and has tried to put them into action as an adult. He spends most of his free time with his two sons and his wife. Whether he is playing a quiet board game with his family, or experiencing the outdoors with his sons, he is always looking for a chance to further his sons' education and his own. He was in the army in the past and works today to help the government keep America safe. He keeps his hair buzzed and his smooth face freshly shaven. He has a youthful glow to him, and he is one of those people that when he smiles you can't help but smile back. is charming, and his sparkling eyes and vibrant smile just add to his great personality. He looks like a younger Christopher Knight.. Financial Security, Further Education, Marriage/Family, Rewarding Career, To Be Happy, Travel","5'11""
(180 cm)","210 lb
(95 kg)",Hazel,"Brown/
Wavy",Light,MS/Geoinfmtcs & Geospatl Intel,,Caucasian,Christian (Catholic),Geospatial Scientist,"French Horn, Wood Carving"
"is a thoughtful, caring man. He likes to put others before himself. He is seriously enjoyable to be around. He has a quiet demeanor but is very ambitious and seems always to have new accomplishments. Extremely loyal and honest, he believes that these are some of the most important traits to possess. A big family man, his culture is a key part of his life and he thinks family should always come first. He also considers his ""pups"" to be a part of his family and has a deep connection with animals. Our staff finds him striking, with a flawless complexion and a smile that makes him seem like the tallest person in the room. When smiles a subtle dimple appears on his right side that makes your heart swoon. His captivating chocolate brown eyes are warm and inviting and instantly make you feel connected to him. He definitely is someone who can light up a room with more than just his personality.. Community Service, Financial Security, Further Education, Marriage/Family, Rewarding Career, To Be Happy","5'10""
(177 cm)","165 lb
(74 kg)",Brown,"Brown/
Straight",Medium,BA/Communications,,Latino,Christian (Non-practicing),"Student, Part-time retail","Coaching, Food, Soccer, Violin"
"is extremely well-spoken, bright and poised. This donor has had several challenging things occur in his life, but has pushed through, and is truly a survivor. A sports injury, while traumatic, changed the course of his life for the better. He became very involved in academics and found his true passion in studying global education; to learn and understand how the world connects. He loves to spend his free time fly fishing and hiking. A very social person, he prefers to spend his time around others, whether it's out with friends or staying at home with his daughter. This donor is a genuine man who has achieved so many of his life goals already and continues to strive for more. He has hazel eyes that stand out quite well against his naturally paler features. He carries himself as if he is seven feet tall due to the self-confidence that he has built up over the years. is a traditionally handsome man who believes that self-confidence is the best way to alter how people physically see you. And when it comes to this donor, we have to agree that his confidence gives him an extra flair, for sure. He resembles Jason Segel.. Financial Security, Improve Environment, Marriage/Family, Success, To Be Happy, Travel","6'0""
(182 cm)","225 lb
(102 kg)",Hazel,"Brown/
Straight",Light,MBA/Finance,,Caucasian,Christian (Catholic),Energy Consultant,"Fishing, Hiking, Reading, Running"
"has a truly pure and good heart. He wants to make the world a better place. He was brave enough to take the tremendous risk of coming to this country with little support, and he flourished. He values hard work, kindness, generosity and the ability to accept everyone as they are. This donor is very intelligent, humble, and highly motivated. Finding someone with a bigger and braver heart would be near impossible. The first thing that catches your attention when you see him are his eyes, they are very calm, peaceful and kind. He is very modest, and you can tell he is a very relaxed and stress-free person by the way he carries himself.. Community Service, Financial Security, Further Education, God/Religion, Improve Environment, Marriage/Family, Politics, Recognition, Rewarding Career, Success, To Be Happy, To Help People","5'9""
(175 cm)","191 lb
(86 kg)",Brown,"Black/
Curly",Dark,Master's in Cybersecurity,,Black,Christian (Catholic),Graduate Student,"Reading, Sports, Technology"
"is very bright and level-headed. Compassionate and honest, he is sensitive with a hopeful attitude about life. He is incredibly creative - he has a natural way with words when he writes and speaks. Humbled by his past and the difficult times he encountered growing up, he believes very strongly in maintaining one's own personal beliefs. He was born and raised in Russia, and has an enchanting foreign accent. He has a lean build, but has obvious definition of musculature throughout. His complexion is light and silky, and it seems to enhance the darker tones of his hair. His eyes are completely stunning with their pale, true-blue hue.. Fame, Further Education, Rewarding Career, To Be Happy, To Help People, Travel","5'10""
(177 cm)","175 lb
(79 kg)",Blue,"Black/
Straight",Light,MA/Russian Legal Studies,,Caucasian,Other (Pagan),Logistics Coordinator,"Fitness, Reading"
"is very sweet and thoughtful. He is sincere and respectful to others. Responsible and bright, he is competitive and driven to succeed. He is willing to work hard and make sacrifices to reach his high goals and set expectations. Outside of academics, he enjoys playing basketball and reading. He is tall, handsome and fit. He enjoys lifting weights and his hard work has paid off with a toned, muscular frame. He has a soft, warm smile and attractive brown eyes.. Financial Security, Improve Environment, Marriage/Family, Recognition, Rewarding Career, Success, To Be Happy, To Help People, Travel","6'0""
(182 cm)","166 lb
(75 kg)",Brown,"Black/
Straight",Medium Light,PhD/Chemical Engineering,,Asian,Other (Agnostic),Engineer,"Basketball, Hiking, Kayaking, Reading, Travel, Working out"
"is a kind, empathetic man who expresses himself well and is very genuine. He is the type of person that wants the best for everybody and strives to bring out the best in others. A good listener and friend, he enjoys spending time with others. He is an enthusiastic and loving father and loves spending time with his kids. Always a hard worker, he is a dedicated provider and takes his responsibility seriously. He strives to continue to grow personally and professionally. He enjoys martial arts, cooking and motorcycle riding. Traveling with his eyes wide open to experience the culture fully is a passion. He has medium brown eyes and expressive features. He has a soft, subtle, and warm smile. He has a full head of brown hair.. Financial Security, Further Education, Marriage/Family, Success, To Help People, Travel","6'1""
(185 cm)","235 lb
(106 kg)",Brown,"Brown/
Wavy",Medium Light,BS/Marketing,,Latino,Christian (Catholic),Police Officer,"Martial Arts, Motorcycle riding"
"is a serious man who strives to be a provider for his family in China and wants to make a better life for them. He is very intelligent, speaking five languages and maintaining his high academic standards. He comes from a well-educated family, and success is the only option for him. wants to be challenged. He wants to continue to be pushed outside of his comfort zone and experience what the world has to offer. He has loosely styled, straight black hair. He has full eyebrows that peek above his trendy glasses. Usually straight-faced, you've struck a chord if you get him to smile. He looks like singer Jay Park.. Financial Security, Rewarding Career, Success, To Be Happy, Travel","5'7""
(170 cm)","197 lb
(89 kg)",Black,"Black/
Straight",Light,MS/Mechanical Engineering,,Asian,Other (Agnostic),Research Assistant,"Piano, Soccer"
"likes to be involved and wants to make a difference. Whether it be through his military service or his volunteer work with children, he cares deeply about his community. Along with his philanthropy, he isn't afraid of hard work. He enjoys being outdoors and is an athletic guy. Very respectful and responsible, he always says thank you, and presents the best version of himself. He is tall, trim, and muscular. He is always dressed professionally and his handsome, relaxed smile is a real head turner. He speaks confidently and matter-of-factly. Some of our staff thinks he resembles Wentworth Miller.. -","6'2""
(187 cm)","201 lb
(91 kg)",Brown,"Brown/
Straight",Medium,MBA,,Caucasian,Christian (Lutheran),"Student, Sales","Camping, Fishing, Running, Working out"
"is very personable, kind, and courteous. He makes eye contact when speaking and is frequently smiling. Though he may come off as soft-spoken, he isn't afraid to strike up a conversation. He values his family and his Korean heritage. cares about being a positive influence and doing the right thing. He has a strong work ethic and is dedicated to family and friends. He is handsome, with a strong jawline and full lips. He has nicely styled black hair and deep brown eyes. He is always dressed to the nines; frequently wearing a suit and tie. He looks like Si Won Choi.. Fame, Marriage/Family, Rewarding Career, Success, To Be Happy, Travel","5'8""
(172 cm)","147 lb
(66 kg)",Brown,"Black/
Straight",Medium Light,BS/Hotel & Restaurant Mgmt,,Asian,Christian (Catholic),Banquet Manager,"Dancing, Piano"
"is a thoughtful man who tries to do what is right. He is patient and kind hearted. Showing his daughter how to be mindful and polite is important to him. He is creative and enjoys making music and playing the guitar. An avid reader, he is an expressive writer and able to convey his thoughts eloquently. He is environmentally conscious; making an effort to reduce his carbon footprint and teach his daughter sustainable practices. Sympathy, compassion, and empathy are some of his best traits. This donor can frequently be found wearing a sweater, jeans, and dress shoes. He has a thin build with good posture. His lips are alluring and well-cut; accented by his short, neat beard. He is cute, with darker brown eyes, thick, arched eyebrows and a perfectly shaped nose. He looks like Bobby Cannavale.. Community Service, Financial Security, Further Education, Improve Environment, Marriage/Family, Politics, Success, To Be Happy, To Help People, Travel","5'8""
(172 cm)","142 lb
(64 kg)",Brown,"Brown/
Straight",Medium Light,BS/Journalism,,Caucasian,Other (Spiritual),Marketing Consultant/Writer,"Individual Sports, Music"
"is an entertainer. He is confident, outgoing, fun, and enjoys making people laugh. He is in the theatre arts, and can act, sing, dance and play instruments. He feeds off other people's energy. A self-proclaimed jack of all trades, he prefers to dabble in everything from sports to theatre. He is an instructor working with special needs kids. He has a lean, muscular build, indicative of a man on the move. He has warm, medium brown eyes, and well-styled brown hair. He has a strong, handsome jaw line, with a slightly cleft chin.. Community Service, Financial Security, God/Religion, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People","5'11""
(180 cm)","193 lb
(87 kg)",Brown,"Brown/
Wavy",Medium Light,AFA/Theatre Performance,,Caucasian,Christian (Non-denominational),Realtor,Sports
"is an ambitious first generation immigrant who left his home country on his own at the age of seventeen. He is a kind and altruistic individual as exemplified by his career choice as a pharmacist. He values family, and credits his father for his critical thinking and scientific inquiry. He seeks accomplishment, self-enrichment and discipline as represented by his attention to his diet, exercise and reading. Slim and fit, he has a golden skin tone and stands tall at 6'2"". His soft brown eyes display his curious nature, and his warm smile is welcoming. He exudes confidence and makes his presence felt.. Financial Security, Further Education, Improve Environment, Success, To Be Happy, To Help People, Travel","6'2""
(187 cm)","177 lb
(80 kg)",Brown,"Black/
Straight",Medium,Pharm.D./Pharmacy,,Asian,Other (Agnostic),Pharmacist,"Boxing, Music, Reading, Singing, Swimming, Travel, Video games, Weightlifting"
"is a kind man who describes himself as sensitive and caring. Justice matters to him. He listens well and is also a good conversationalist. He is ambitious and is pursuing a career in medicine. He enjoys being precise and learning how things work. He considers himself stronger for his past experiences in his home country. Appreciating what he has and being helpful are important to him. He has a slim stature and a warm hue to his skin. His jet black hair has springy waves and is accompanied by his full eyebrows. He has subtle brown eyes and a well-maintained goatee.. Financial Security, Further Education, God/Religion, Marriage/Family, Success, To Help People, Travel","5'8""
(172 cm)","159 lb
(72 kg)",Brown,"Black/
Wavy",Medium,BM/Medicine & General Surgery,,Caucasian,Islam,Pharmacy Technician,Sports
"is very thoughtful and an intellectual. Always looking to improve himself, he likes pushing himself to his limits. He enjoys meeting new people. He is research oriented, currently holds a Master's degree, and hopes to join a doctorate program in Social Psychology. A first generation immigrant, he is altruistic and empathetic. He currently works with breast cancer survivors and seeks to find meaning through hard work and perseverance. He has a strong connection with nature and loves to travel. He plays ping pong, bikes and hikes for fun.. Financial Security, Further Education, Marriage/Family, To Be Happy, To Help People, Travel","5'9""
(175 cm)","140 lb
(63 kg)",Brown,"Black/
Straight",Medium,MBA/Business Administration,,Asian,None (Atheist),Research Assistant,"Movies, Sports, Writing"
"is a good natured and funny individual. His appreciation of health and exercise is revealed by his physique, and was likely structured during his time in the armed forces. He is a young, personable man, often talking to staff about his ambitions to travel and see the world. His freshly shaven face reveals a defined jawline. His swooped hair is accompanied by a fresh fade that eases you into his complex blue eyes. His shoulders and arms are cut and indicate a healthy lifestyle. He looks like a young Dennis Quaid.. Financial Security, Further Education, Rewarding Career, To Be Happy, To Help People","6'0""
(182 cm)","187 lb
(84 kg)",Blue,"Brown/
Straight",Medium Light,AS/Science,,Caucasian,Christian (Catholic),Biotechnology Student,"Electric Bass, Powerlifting"
"is friendly and kind and greets the staff with a big smile. He is a family man who loves his wife and stepchildren. His philosophy is to fight adversity with positivity. He seeks to learn from past experiences; taking away the positive and ridding himself of the negative. He knows that happiness comes from within and he tries his best not to let anything get in his way. He is business minded and possesses an MBA. Sooner rather than later, he seeks to own his own business. He has an average build and stands at 5'7"". He has light skin, a round face with a big smile that displays dimples on his cheeks. The donor's audio interview was conducted in Spanish. A recorded English translation has been added at the end of the Spanish original.. Financial Security, Further Education, God/Religion, Marriage/Family, Success, To Be Happy, To Help People, Travel","5'7""
(170 cm)","166 lb
(75 kg)",Green,"Brown/
Wavy",Light,MBA/Business Administration,,Latino,Christian (Catholic),International Consultant,"Motorcycles, Sports, Technology, Travel"
"is naturally curious, very outgoing and friendly. He wants to learn something new every day. Casual and laid back at all times, this donor is always ready to spend an evening hanging out with friends and family. When this donor isn't busy with school or work, you can find him at the gym or riding his motorcycle. He has a very contagious smile. He is a good looking man, with a full head of wavy hair, a defined jawline and arched eyebrows. His dark brown eyes pop from his sun-kissed complexion. He has an athletic build, which is indicative of his love of working out and playing sports. His straight white teeth shine from his clean-shaven face. Friends and even strangers say he looks like Robert Pattinson.. Financial Security, Further Education, God/Religion, Marriage/Family, Rewarding Career, Success, To Be Happy, To Help People","6'0""
(182 cm)","198 lb
(89 kg)",Brown,"Brown/
Wavy",Medium,BA/Business Finance,,Multi,Christian,"Student, Grocery Worker","Biking, Mechanics, Motorcycles, Outdoors, Skating, Sports, Working out"
